competition_id,season_id(s),club_id,club_name,youth_team_id,youth_team_name
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",131,FC Barcelona,2464,FC Barcelona Atlètic
ES1,"2023,2021,2020,2019,2016,2015,2014",16795,Granada CF,39452,Granada CF U19
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",368,Sevilla FC,8519,Sevilla Atlético
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",1050,Villarreal CF,11972,Villarreal CF B
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",418,Real Madrid,6767,Real Madrid Castilla
ES1,"2023,2022,2021,2020,2019,2016",331,CA Osasuna,8516,CA Osasuna Promesas
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015",150,Real Betis Balompié,2865,Betis Deportivo Balompié
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",681,Real Sociedad,9899,Real Sociedad B
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",13,Atlético de Madrid,3679,Atlético de Madrid B
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",1049,Valencia CF,6182,Valencia Mestalla
ES1,"2020,2018",5358,SD Huesca,70841,SD Huesca B
ES1,"2023,2022,2021,2020,2019,2018,2017,2015,2014",3709,Getafe CF,8510,Getafe CF B
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",621,Athletic Bilbao,6665,CD Basconia
ES1,"2023,2021,2020,2019,2018,2017,2016",1108,Deportivo Alavés,8880,Deportivo Alavés B
ES1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",940,Celta de Vigo,8733,RC Celta Fortuna
ES1,"2017,2016,2015,2014",1084,Málaga CF,5649,Atlético Malagueño
ES1,"2023,2022,2018,2017",12321,Girona FC,38006,Girona FC B
ES1,"2022,2021,2020,2014",1531,Elche CF,12317,Elche Ilicitano
ES1,"2022,2020,2019,2018",366,Real Valladolid CF,,
ES1,"2023,2022,2014",3302,UD Almería,11986,UD Almería B
ES1,"2020,2019,2018,2017,2016,2015,2014",1533,SD Eibar,50186,SD Eibar B
ES1,"2022,2021,2019,2018,2017,2016,2015,2014",714,RCD Espanyol Barcelona,,
ES1,"2023,2017,2016,2015",472,UD Las Palmas,11610,Las Palmas Atlético
ES1,"2017,2016,2015,2014",897,Deportivo de La Coruña,11603,RC Deportivo Fabril
ES1,"2019,2018,2017,2016",1244,CD Leganés,17686,CD Leganés B
ES1,"2023,2022,2021,2019",237,RCD Mallorca,8494,RCD Mallorca B
ES1,"2023,2022,2021,2020",2687,Cádiz CF,11669,Cádiz CF Mirandilla
ES1,"2021,2020,2019,2018,2017,2015,2014",3368,Levante UD,11516,Atlético Levante UD
ES1,"2023,2022,2021,2018,2015,2014",367,Rayo Vallecano,15080,Rayo Vallecano B
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",6195,SSC Napoli,12819,Napoli Primavera
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",12,AS Roma,11997,Roma U20
IT1,"2023,2021,2020,2019,2018,2017,2016,2015,2014",252,Genoa CFC,8517,Genoa U20
IT1,"2022,2021,2020,2019,2018,2017,2016,2015,2014",1038,UC Sampdoria,12001,Sampdoria Primavera
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015",1025,Bologna FC 1909,,
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",430,ACF Fiorentina,8505,Fiorentina Primavera
IT1,2015,4102,Carpi FC 1909,40440,Carpi FC Youth
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",46,Inter Milan,5380,Inter Milan Primavera
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",410,Udinese Calcio,10959,Udinese Primavera
L1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",82,VfL Wolfsburg,5343,VfL Wolfsburg U19
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",5,AC Milan,41579,AC Milan UEFA U19
IT1,"2023,2018,2015",8970,Frosinone Calcio,17664,Frosinone Primavera
L1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",15,Bayer 04 Leverkusen,4713,Bayer 04 Leverkusen U19
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",6574,US Sassuolo,19114,Sassuolo Primavera
IT1,"2023,2022,2021,2020,2019,2017,2015,2014",276,Hellas Verona,16996,Hellas Verona Primavera
L1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",167,FC Augsburg,5379,FC Augsburg II
L1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",16,Borussia Dortmund,17,Borussia Dortmund II
L1,"2018,2017,2015,2014",42,Hannover 96,1065,Hannover 96 II
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",398,SS Lazio,12816,Lazio U20
L1,"2023,2022,2021,2020,2019,2018,2017,2016",23826,RB Leipzig,26621,RB Leipzig U19
IT1,"2016,2015,2014",458,US Palermo,12820,US Palermo Youth
L1,"2022,2020,2019,2018,2017,2016,2015,2014",33,FC Schalke 04,34,FC Schalke 04 II
IT1,"2023,2022,2021,2018,2016,2015,2014",749,FC Empoli,8492,Empoli Primavera
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",800,Atalanta BC,76576,Atalanta BC UEFA U19
L1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",27,Bayern Munich,28,FC Bayern Munich II
L1,"2022,2021,2020,2019,2018,2017,2016,2015,2014",44,Hertha BSC,45,Hertha BSC II
L1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",533,TSG 1899 Hoffenheim,69272,TSG 1899 Hoffenheim UEFA U19
L1,"2023,2022,2021,2020,2018,2017,2015,2014",79,VfB Stuttgart,102,VfB Stuttgart II
L1,"2017,2016,2015,2014",41,Hamburger SV,389,Hamburger SV II
IT1,"2018,2017,2016,2015,2014",862,Chievo Verona,10385,Chievo Youth
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",506,Juventus FC,11008,Juventus Primavera
L1,"2023,2022,2021,2020,2019,2018,2017,2016,2014",60,SC Freiburg,245,SC Freiburg II
L1,"2023,2022,2020,2019,2018,2017,2016,2015,2014",86,SV Werder Bremen,87,SV Werder Bremen II
L1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",24,Eintracht Frankfurt,177,Eintracht Frankfurt II
L1,"2023,2022,2021,2020,2019,2017,2016,2015,2014",3,1.FC Köln,438,1.FC Köln II
FR1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",1041,Olympique Lyon,12764,Olympique Lyon B
IT1,"2023,2021,2020,2019,2018,2017,2016,2014",1390,Cagliari Calcio,11676,Cagliari Primavera
IT1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",416,Torino FC,12130,Torino Primavera
IT1,"2020,2019,2018,2014",130,Parma Calcio 1913,5243,Parma Primavera
L1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",18,Borussia Mönchengladbach,1006,Borussia Mönchengladbach II
L1,"2023,2016,2015",105,SV Darmstadt 98,4929,SV Darmstadt 98 II
L1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",39,1.FSV Mainz 05,851,1.FSV Mainz 05 II
IT1,"2019,2018,2017",2722,SPAL,26160,RNK Split U19
IT1,"2023,2022,2019",1005,US Lecce,5618,Lecce Primavera
L1,2023,2036,1.FC Heidenheim 1846,14822,1.FC Heidenheim 1846 U19
GB1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",281,Manchester City,9265,Manchester City U21
FR1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",417,OGC Nice,8158,OGC Nice B
GB1,"2023,2022,2021,2020,2019,2018",543,Wolverhampton Wanderers,24226,Wolverhampton Wanderers U21
GB1,"2022,2021,2020,2019,2018,2017,2016,2015,2014",1003,Leicester City,39341,Leicester City U21
L1,"2023,2022,2021,2020,2019",89,1.FC Union Berlin,7802,1.FC Union Berlin U19
GB1,"2023,2022,2021,2020,2019,2018,2017,2015,2014",762,Newcastle United,9253,Newcastle United U21
GB1,"2022,2021,2020",399,Leeds United,20116,Leeds United U21
GB1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",31,Liverpool FC,9252,Liverpool FC U21
GB1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",379,West Ham United,9267,West Ham United U21
GB1,"2023,2022,2021,2020,2019,2015,2014",405,Aston Villa,12124,Aston Villa U21
GB1,"2022,2021,2020,2019,2018,2017,2016,2015,2014",180,Southampton FC,36546,Southampton FC U21
IT1,2019,19,Brescia Calcio,50454,Brescia Under 17
GB1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",29,Everton FC,9261,Everton FC U21
FR1,"2023,2022,2021,2020,2016,2015,2014",1158,FC Lorient,16662,FC Lorient B
GB1,"2023,2022,2021",1148,Brentford FC,54704,Brentford FC B
ES1,"2016,2015",2448,Sporting Gijón,112812,Sporting Gijón C
FR1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",162,AS Monaco,9668,AS Monaco U21
FR1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",1082,LOSC Lille,12765,LOSC Lille B
FR1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",583,Paris Saint-Germain,43570,Paris Saint-Germain Espoirs
FR1,2022,1147,AC Ajaccio,8305,AC Ajaccio B
FR1,"2023,2022,2021,2020,2019,2018,2015,2014",1421,Stade Reims,11204,Stade Reims B
GB1,"2023,2022,2019,2018,2017,2016,2015",989,AFC Bournemouth,38967,AFC Bournemouth U21
FR1,2022,290,AJ Auxerre,10820,AJ Auxerre B
GB1,"2023,2022,2020,2018",931,Fulham FC,9262,Fulham FC U21
GB1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",873,Crystal Palace,6945,Crystal Palace U21
FR1,"2023,2022,2021,2020,2014",826,RC Lens,8152,RC Lens B
GB1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",985,Manchester United,9251,Manchester United U21
FR1,"2023,2022,2019,2018,2017,2016,2015,2014",415,FC Toulouse,9371,Toulouse FC B
FR1,"2023,2022,2021,2020,2019,2018,2017",667,RC Strasbourg Alsace,7968,Racing Strasbourg B
GB1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",148,Tottenham Hotspur,9254,Tottenham Hotspur U21
FR1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",244,Olympique Marseille,8524,Olympique de Marseille B
FR1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",969,Montpellier HSC,6572,Montpellier HSC B
GB1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",11,Arsenal FC,9249,Arsenal FC U21
FR1,"2023,2022,2021",3524,Clermont Foot 63,16654,Clermont Foot 63 B
FR1,"2022,2021,2020,2019,2018,2017,2016,2015",1420,Angers SCO,16672,Angers SCO B
FR1,"2022,2021,2017,2015",1095,ESTAC Troyes,10846,ESTAC Troyes B
FR1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",995,FC Nantes,10851,FC Nantes U19
FR1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",273,Stade Rennais FC,8154,Stade Rennais FC B
GB1,"2023,2022",703,Nottingham Forest,38588,Nottingham Forest U21
FR1,"2023,2022,2021,2020,2019",3911,Stade Brestois 29,16674,Stade Brest 29 B
L1,2018,4,1.FC Nuremberg,473,1.FC Nuremberg II
L1,"2021,2020",10,Arminia Bielefeld,4556,Arminia Bielefeld U19
L1,"2019,2018",38,Fortuna Düsseldorf,4690,Fortuna Düsseldorf II
L1,2021,65,SpVgg Greuther Fürth,393,SpVgg Greuther Fürth II
L1,"2016,2015",4795,FC Ingolstadt 04,13683,FC Ingolstadt 04 U19
L1,"2023,2022,2021",80,VfL Bochum,446,VfL Bochum II
FR1,"2023,2021,2020,2019,2017,2016,2014",347,FC Metz,8179,FC Metz B
FR1,"2021,2020,2019,2018,2017,2016,2015,2014",40,FC Girondins Bordeaux,10872,FC Girondins Bordeaux B
FR1,"2021,2020,2019,2018,2017,2016,2015,2014",618,AS Saint-Étienne,8515,AS Saint-Étienne B
FR1,"2020,2019,2018,2017,2016",2969,Dijon FCO,16664,Dijon FCO B
FR1,"2020,2019,2018",1160,Nîmes Olympique,18015,Nîmes Olympique B
FR1,"2019,2018,2017",1416,Amiens SC,16671,Amiens SC B
FR1,2023,738,Le Havre AC,12278,AC Le Havre U19
GB1,"2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",631,Chelsea FC,9250,Chelsea FC U21
GB1,"2023,2021,2020,2019,2018,2017,2016,2014",1132,Burnley FC,24214,Burnley FC U21
GB1,"2020,2017,2016,2015,2014",984,West Bromwich Albion,29990,West Bromwich Albion U21
GB1,"2023,2020,2019",350,Sheffield United,8824,Sheffield United U21
GB1,"2023,2022,2021,2020,2019,2018,2017",1237,Brighton & Hove Albion,39336,Brighton & Hove Albion U21
IT1,2016,2921,Delfino Pescara 1936,8525,Pescara Primavera
IT1,"2020,2017,2016",4083,FC Crotone,25964,Crotone Primavera
GB1,"2021,2019,2018,2017,2016,2015",1010,Watford FC,10732,Watford FC U18
GB1,"2017,2016,2015,2014",512,Stoke City,24219,Stoke City U21
GB1,"2018,2017",1110,Huddersfield Town,37492,Huddersfield Town B
GB1,"2017,2016,2015,2014",2288,Swansea City,14626,Swansea City U18
IT1,"2023,2022,2021",380,US Salernitana 1919,14968,Salernitana Primavera
IT1,"2023,2022",2919,AC Monza,84400,Monza Primavera
IT1,"2020,2017",4171,Benevento Calcio,26332,Benevento Primavera
FR1,"2018,2017,2016,2015,2014",855,EA Guingamp,12748,EA Guingamp B
FR1,"2016,2015,2014",595,SC Bastia,9652,SC Bastia B
FR1,2016,1159,AS Nancy-Lorraine,10841,AS Nancy-Lorraine U19
GB1,"2021,2019,2015",1123,Norwich City,33614,Norwich City U21
FR1,"2018,2017,2016,2015,2014",1162,SM Caen,12770,SM Caen B
GB1,2023,1031,Luton Town,14619,Luton Town U18
IT1,2014,1429,AC Cesena,,
IT1,"2022,2021,2020",3522,Spezia Calcio,14893,Spezia Primavera
L1,"2019,2014",127,SC Paderborn 07,6604,SC Paderborn 07 II
FR1,2015,3558,GFC Ajaccio,3558,GFC Ajaccio
GB1,"2016,2014",3008,Hull City,19715,Hull City U21
GB1,2016,641,Middlesbrough FC,9256,Middlesbrough FC U21
GB1,2018,603,Cardiff City,29793,Cardiff City U21
GB1,"2016,2015,2014",289,Sunderland AFC,9264,Sunderland AFC U21
FR1,2014,14171,FC Évian Thonon Gaillard,,
ES1,2014,993,Córdoba CF,12834,Córdoba CF B
GB1,2014,1039,Queens Park Rangers,12805,Queens Park Rangers U18
IT1,2021,607,Venezia FC,17257,Venezia Primavera
IT1,2022,2239,US Cremonese,17198,Cremonese Primavera
